arrayref	0.3.9	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/arrayref-0.3.9.crate	9186	76a2e8124351fda1ef8aaaa3bbd7ebbcb486bbcd4225aca0aa0d84bb2db8fecb	registry/src/index.crates.io-1949cf8c6b5b557f/arrayref-0.3.9	14	30014:f3fc7676534cb0ad01e15ab1d78da812b09d3306078c9795dc1941eb03306dae
arrayvec	0.7.8	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/arrayvec-0.7.8.crate	33260	d3fb67a6e08acf24fdeccbac2cb6ac4305825bd1f117462e0e6f2f193345ad56	registry/src/index.crates.io-1949cf8c6b5b557f/arrayvec-0.7.8	23	132516:207ddca6e7c0da058b7fef0c01943ff1334ce4e74f73f5767316c5948d8ef5bf
atomic-waker	1.1.2	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/atomic-waker-1.1.2.crate	12422	1505bd5d3d116872e7271a6d4e16d81d0c8570876c8de68093a09ac269d8aac0	registry/src/index.crates.io-1949cf8c6b5b557f/atomic-waker-1.1.2	12	39106:a1e602935141861d0c41e004651911389cf53f46c5a3a733985f704fc610fc3a
atty	0.2.14	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/atty-0.2.14.crate	5470	d9b39be18770d11421cdb1b9947a45dd3f37e93092cbf377614828a319d5fee8	registry/src/index.crates.io-1949cf8c6b5b557f/atty-0.2.14	12	14572:cd7d8e25433b466077e31c6a853adb2a6abd968f95bf014b88974d1c92fa6038
autocfg	1.5.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/autocfg-1.5.1.crate	18911	f2032f911046de80f0a198e0901378627c33f59ea0ac00e363d481118bd70a53	registry/src/index.crates.io-1949cf8c6b5b557f/autocfg-1.5.1	24	62101:7609435b2daf8955faebffe70e9005a47f9dd3f1c793ee34694017bada8ca9ff
base64	0.12.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/base64-0.12.3.crate	57545	3441f0f7b02788e948e47f457ca01f1d7e6d92c693bc132c22b087d3141c03ff	registry/src/index.crates.io-1949cf8c6b5b557f/base64-0.12.3	31	291616:66c71dee854ce1c9a7785c339f1ae7b516fa13d09dda8c0324ce4283a216a359
base64	0.22.1	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/base64-0.22.1.crate	81597	72b3254f16251a8381aa12e40e3c4d2f0199f8c6508fbecb9d91f575e0fbb8c6	registry/src/index.crates.io-1949cf8c6b5b557f/base64-0.22.1	39	341989:c9efeaa078eb63432ab3691fca695495f6ff6c91b874e53ad73d8caea02f7c95
bincode	1.3.3	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bincode-1.3.3.crate	28958	b1f45e9417d87227c7a56d22e471c6206462cba514c7590c09aff4cf6d1ddcad	registry/src/index.crates.io-1949cf8c6b5b557f/bincode-1.3.3	24	153803:2deba47db13b9b60b3916d9e5302fd487631b70c8e2bd99dc6e1468d84ffcb53
bit-set	0.8.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bit-set-0.8.0.crate	16289	08807e080ed7f9d5433fa9b275196cfc35414f66a0c79d864dc51a0d825231a3	registry/src/index.crates.io-1949cf8c6b5b557f/bit-set-0.8.0	13	68201:22152467c525fda5ff210ef0ba203d365d0bc9798cabae3c75723e83a5b985bb
bit-vec	0.8.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bit-vec-0.8.0.crate	24132	5e764a1d40d510daf35e07be9eb06e75770908c27d411ee6c92109c9840eaaf7	registry/src/index.crates.io-1949cf8c6b5b557f/bit-vec-0.8.0	15	123594:370cbc77ab4614ef35782399eb8703965088c26e5ce036fcc4a34e7d195eb87f
bitflags	2.13.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/bitflags-2.13.0.crate	51280	b4388bee8683e3d04af747c73422af53102d2bd24d9eadb6cbc100baef4b43f8	registry/src/index.crates.io-1949cf8c6b5b557f/bitflags-2.13.0	65	243758:926483cdb073647bf5738d57b676a8bd07a66f7f608004b91c2c889d62f3d613
blake3	1.5.5	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/blake3-1.5.5.crate	181134	b8ee0c1824c4dea5b5f81736aff91bae041d2c07ee1192bec91054e10e3e601e	registry/src/index.crates.io-1949cf8c6b5b557f/blake3-1.5.5	69	1531620:bc827d3f6d8703b65c0a3f1ab7ca4d116a9c74e7fa8a5f64ad1507b521ada93f
block-buffer	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/block-buffer-0.10.4.crate	10538	3078c7629b62d3f0439517fa394996acacc5cbc91c5a20d8c658e77abd503a71	registry/src/index.crates.io-1949cf8c6b5b557f/block-buffer-0.10.4	11	35045:8bef84d9eb95a4f272e4a193e638c98ce0a419c0e90674da8d0665e86ee88316
block-buffer	0.9.0	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/block-buffer-0.9.0.crate	7108	4152116fd6e9dadb291ae18fc1ec3575ed6d84c29642d97890f4b4a3417297e4	registry/src/index.crates.io-1949cf8c6b5b557f/block-buffer-0.9.0	7	20811:16ba30220d05676cb8a919cfd255b69d0c7cdcc16f392b17883c8e5dc388c408
borsh	0.10.4	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/borsh-0.10.4.crate	31326	115e54d64eb62cdebad391c19efc9dce4981c690c85a33a12199d99bb9546fee	registry/src/index.crates.io-1949cf8c6b5b557f/borsh-0.10.4	36	149341:a21abafd77306a97bf8d930302049c3c9846eb1c378b1755c9e38a86be5c3403
borsh	1.5.7	registry+https://github.com/rust-lang/crates.io-index	registry/cache/index.crates.io-1949cf8c6b5b557f/borsh-1.5.7.crate	78062	ad8646f98db542e39fc66e68a20b2144f6a732636df7c2354e74645faaa433ce	registry/src/index.crates.io-1949cf8c6b5b557f/borsh-1.5.7	92	417540:70ee46d822a9c55a240728ee260a9864013f70a0b6607b031de7d0fd044ef21e
