Feature                                      | Status                  | Activation Slot | Description
5JsG4NWH8Jbrqdd8uL6BNwnyZK3dQSoieRXG5vmofj9y | active since epoch 0    | 0               | SIMD-0180: Enable vote address leader schedule #4573
5KLGJSASDVxKPjLCDWNtnABLpZjsQSrYZ8HKwcEdAMC8 | active since epoch 0    | 0               | drops unchained Merkle shreds #2149
5Pecy6ie6XGm22pc9d4P9W5c31BugcFBuy6hsP2zkETv | active since epoch 0    | 0               | checked arithmetic in fee validation #31273
5TuppMutoyzhUSfuYdhgzD47F92GL1g89KpCZQKqedxP | active since epoch 0    | 0               | enable the remaining_compute_units syscall
5ZCcFAzJ1zsFKe1KSZa9K92jhx7gkcKj97ci2DBo1vwj | active since epoch 0    | 0               | Simplify checks performed for writable upgradeable program accounts #30559
5cC3foj77CWun58pC51ebHFUWavHWKarWyR5UUik7dnC | active since epoch 0    | 0               | SIMD-0178, SIMD-0189 and SIMD-0377: Enable deployment and execution of SBPFv3 programs
5ekBxc8itEnPv4NzGJtr8BVVQLNMQuLMNQQj7pHoLNZ9 | active since epoch 0    | 0               | transaction wide compute cap
5oMCU3JPaFLr8Zr4ct7yFA7jdk6Mw1RmB8K4u9ZbS42z | active since epoch 0    | 0               | SIMD-0207: Raise block limit to 50M
5wAGiy15X1Jb2hkHnPDCM8oB9V42VNA9ftNVFK84dEgv | active since epoch 0    | 0               | set rent epoch to Epoch::MAX for rent-exempt accounts #28683
5x3825XS7M2A3Ekbn5VGGkvFoAg5qrRWkTrY4bARP1GL | active since epoch 0    | 0               | enable bpf upgradeable loader SetAuthorityChecked instruction #28424
5xXZc66h4UdB6Yq7FzdBxBiRAFMMScMLwHxk2QZDaNZL | active since epoch 0    | 0               | SIMD-0321: Provide instruction data offset in VM r2
61BtM7BkDEE8Yq5fskEVAQT9mYA8qCejJWoLe5apqg81 | active since epoch 0    | 0               | SIMD-0437-2: Set lamports per byte to 5080
64ixypL1HPu8WtJhNSMb9mSgfFaJvsANuRkTbHyuLfnx | active since epoch 0    | 0               | SIMD-0160: static instruction limit
6M4oQ6eXneVhtLoiAr4yRYQY43eVLjrKbiDZDJc892yk | active since epoch 0    | 0               | SIMD-0196: Migrate Stake program to Core BPF #3655
6RvdSWHh8oh72Dp7wMTS2DBkf3fRPtChfNrAo3cZZoXJ | active since epoch 0    | 0               | secp256k1_recover syscall
6TkHkRmP7JZy1fdM6fg5uXn76wChQBWGokHBJzrLB3mj | active since epoch 0    | 0               | SIMD-0268: Raise CPI nesting limit from 4 to 8
6Uf8S75PVh91MYgPQSHnjRAPQq6an5BDv9vomrCwDqLe | active since epoch 0    | 0               | Deprecate unused legacy vote tx plumbing
6YsBCejwK96GZCkJ6mkZ4b68oP63z2PLoQmWjC7ggTqZ | active since epoch 0    | 0               | consume duplicate proofs from blockstore in consensus #34372
