scenario_name,path_variant,security_target_bits,soundness_assumption,total_explicit_query_count,round_query_counts,commitment_ood_samples,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,3,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,4,738124,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,4,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,5,738124,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,5,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,6,738124,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,6,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,7,738124,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,7,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,8,738124,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,8,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,verify_sbf,9,738124,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,total_sbf,9,764562,,464,30272,254,2385,180,18,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,phase_final_round,0,59068,,0,0,0,0,0,0,2974,234,36
whir_t100_capacity_full,transcript_full,100.0,whir_capacity_full,28,18|10,2,12356,640,20,32768,1,phase_folding,0,8269,,0,0,0,0,0,0,2974,234,36
