scenario_name,round0_variant,whir_fold_mode,merkle_proof_mode,security_target_bits,soundness_assumption,round_index,round_query_count,round_merkle_depth,round_ood_samples,round_selector_count,round_pow_bits,round_sumcheck_rounds,round_folding_pow_bits,proof_bytes,upload_chunk_size,upload_chunks,heap_frame_bytes_requested,heap_pages_32k,stage,repetition,actual_cu,elapsed_ns,status,error,sha_calls,sha_bytes,merkle_levels,m31_mul_ops,cm31_mul_ops,qm31_mul_ops,field_mul_projection,extension_mul_projection,field_inv_projection
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,3,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,4,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,4,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,4,1473,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,4,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,5,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,5,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,5,1473,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,5,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,6,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,6,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,6,1473,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,6,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,7,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,7,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,7,1473,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,7,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,8,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,8,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,8,1473,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,8,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,9,4043,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,9,33963,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,9,1473,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,baseline_round0,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,9,617790,,ok,,0,0,0,0,0,0,2536,234,36
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,host_verify,0,,5242541,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,0,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,1,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,2,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,3,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,4,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,5,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,6,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,7,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,8,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,9,619527,,ok,,222,14871,254,1030,234,18,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,0,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,0,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,0,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,0,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,1,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,1,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,1,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,1,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,2,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,2,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,2,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,2,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,3,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,3,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,3,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,3,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,4,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,4,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,4,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,4,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,5,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,5,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,5,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,5,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,6,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,6,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,6,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,6,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,7,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,7,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,7,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,7,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,8,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,8,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,8,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,8,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_folding,9,4043,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_ood,9,33963,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_parse,9,1473,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,round_reuse_batch_inverse,raw_fibers,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,phase_per_round_queries,9,580688,,ok,,0,0,0,0,0,0,1066,271,2
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,host_verify,0,,5137042,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,0,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,1,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,2,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,3,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,4,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,5,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,6,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
whir_t100_capacity_full,baseline_round0,local_interpolant,separate_paths,100.0,whir_capacity_full,0,18,8,2,1,30,4,0,12356,640,20,32768,1,verify_sbf,7,660343,,ok,,222,14871,254,2028,180,18,2608,234,36
